video_path,label,split
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1_color.mp4,41,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample10_color.mp4,19,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample100_color.mp4,8,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1000_color.mp4,164,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1001_color.mp4,184,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1002_color.mp4,97,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1003_color.mp4,36,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1004_color.mp4,112,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1005_color.mp4,101,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1006_color.mp4,118,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1007_color.mp4,157,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1008_color.mp4,127,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1009_color.mp4,83,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample101_color.mp4,207,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1010_color.mp4,75,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1011_color.mp4,117,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1012_color.mp4,109,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1013_color.mp4,62,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1014_color.mp4,219,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1015_color.mp4,83,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1016_color.mp4,221,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1017_color.mp4,143,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1018_color.mp4,10,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1019_color.mp4,2,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample102_color.mp4,144,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1020_color.mp4,162,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1021_color.mp4,30,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1022_color.mp4,20,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1023_color.mp4,224,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1024_color.mp4,47,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1025_color.mp4,207,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1026_color.mp4,138,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1027_color.mp4,189,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1028_color.mp4,20,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1029_color.mp4,84,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample103_color.mp4,225,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1030_color.mp4,18,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1031_color.mp4,203,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1032_color.mp4,195,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1033_color.mp4,151,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1034_color.mp4,0,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1035_color.mp4,24,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1036_color.mp4,141,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1037_color.mp4,67,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1038_color.mp4,182,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1039_color.mp4,14,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample104_color.mp4,58,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1040_color.mp4,216,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1041_color.mp4,157,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1042_color.mp4,104,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1043_color.mp4,102,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1044_color.mp4,0,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1045_color.mp4,217,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1046_color.mp4,80,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1047_color.mp4,198,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1048_color.mp4,101,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1049_color.mp4,156,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample105_color.mp4,222,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1050_color.mp4,142,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1051_color.mp4,178,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1052_color.mp4,78,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1053_color.mp4,44,train
E:/dataset/DynamicSignDataset/AUTSL/train/signer0_sample1054_color.mp4,212,train
